Item_ID,base_item,presentation_order,seed,context_level,irony_label,correct_option_pos,correct_option_text,model,dataset,prompt_type,prompt,output,original_option_mapping,run,condition,chosen_option,reasoning,chosen_original_option
C1_01_UA_I,C1_01,196,1,unambiguous,ironic,1,b. The cat was really hard to lift up.,Gemma-3-1B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (1–4).

Context: He lifted the obese cat from the table.

Target utterance:
He said:  """"That was easy!""""

1. b. The cat was really hard to lift up.
2. a. The cat was easy to lift up.
3. d. He just got a great deal on a cat bed.
4. c. The exam was really easy.

Answer the following questions in order:


1. Literal Listener (L0):
  How would a listener interpret the utterance literally?
  Answer with a number from 1–4.

2. Informative Speaker (S1):
Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
Answer with a number from 1–4.

3. Pragmatic Listener (L1):
How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
Answer with a number from 1–4.","Here’s the breakdown:

1.  Literal Listener (L0): 1

2.  Informative Speaker (S1): 2

3.  Pragmatic Listener (L1): 3

**Explanation:**

*   **Literal Listener (L0):** The utterance “That was easy!” is a straightforward statement about the physical action of lifting the cat. It doesn’t require any additional context.

*   **Informative Speaker (S1):**  Given that the speaker is informative, they would likely choose option 2 – “The cat was easy to lift up.” This is the most logical and direct interpretation of the action described.

*   **Pragmatic Listener (L1","[2, 1, 4, 3]",3,UA_I,3,"Explanation:**

*   **Literal Listener (L0):** The utterance “That was easy!” is a straightforward statement about the physical action of lifting the cat. It doesn’t require any additional context.

*   **Informative Speaker (S1):**  Given that the speaker is informative, they would likely choose option 2 – “The cat was easy to lift up.” This is the most logical and direct interpretation of the action described.

*   **Pragmatic Listener (L1",4
C1_02_UA_NI,C1_02,267,1,unambiguous,non-ironic,4,a. The dog was really heavy to pick up.,Gemma-3-1B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (1–4).

Context: She picked up her obese dog.

Target utterance:
She said: """"Heaviest dog ever.""""

1. b. The dog was very light to pick up.
2. d. She just adopted a new dog.
3. c. It was the heaviest package she ever carried.
4. a. The dog was really heavy to pick up.

Answer the following questions in order:


1. Literal Listener (L0):
  How would a listener interpret the utterance literally?
  Answer with a number from 1–4.

2. Informative Speaker (S1):
Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
Answer with a number from 1–4.

3. Pragmatic Listener (L1):
How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
Answer with a number from 1–4.","Here’s the breakdown:

1. Literal Listener (L0): 1

2. Informative Speaker (S1): 2

3. Pragmatic Listener (L1): 3

**Explanation:**

*   **L0 (Literal):** The utterance “Heaviest dog ever” is a straightforward statement about the dog’s weight. It doesn’t require any additional context.
*   **S1 (Informative):**  Given that the speaker is informative, they would likely choose option 2 – “She just adopted a new dog.”  The utterance directly relates to the new dog and its size.
*   **L1 (Pragmatic):**  The context is a person","[2, 4, 3, 1]",3,UA_NI,3,"Explanation:**

*   **L0 (Literal):** The utterance “Heaviest dog ever” is a straightforward statement about the dog’s weight. It doesn’t require any additional context.
*   **S1 (Informative):**  Given that the speaker is informative, they would likely choose option 2 – “She just adopted a new dog.”  The utterance directly relates to the new dog and its size.
*   **L1 (Pragmatic):**  The context is a person",3
C1_03_A_I,C1_03,93,1,ambiguous,ironic,3,b. Their friend was hard to lift.,Gemma-3-1B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (1–4).

Context: They lift their overweight friend.

Target utterance:
They said: """"Light as a feather.""""

1. c. The feather fell gently to the ground.
2. d. They decided to go out for dinner with their friend.
3. b. Their friend was hard to lift.
4. a. Their friend was very easy to lift.

Answer the following questions in order:


1. Literal Listener (L0):
  How would a listener interpret the utterance literally?
  Answer with a number from 1–4.

2. Informative Speaker (S1):
Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
Answer with a number from 1–4.

3. Pragmatic Listener (L1):
How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
Answer with a number from 1–4.","Here’s the breakdown of the answers:

1. Literal Listener (L0): 1

2. Informative Speaker (S1): 2

3. Pragmatic Listener (L1): 3

**Explanation:**

*   **Literal Listener (L0):** The utterance “Light as a feather” directly describes the physical lightness of the feather. It’s a straightforward observation.
*   **Informative Speaker (S1):** Given that the speaker is informative and chooses the most appropriate utterance, they would likely select option 2 – “They decided to go out for dinner with their friend.”  The context of lifting a friend implies a need for assistance, and “Light as a feather” is a","[3, 4, 2, 1]",3,A_I,3,"Explanation:**

*   **Literal Listener (L0):** The utterance “Light as a feather” directly describes the physical lightness of the feather. It’s a straightforward observation.
*   **Informative Speaker (S1):** Given that the speaker is informative and chooses the most appropriate utterance, they would likely select option 2 – “They decided to go out for dinner with their friend.”  The context of lifting a friend implies a need for assistance, and “Light as a feather” is a",2
C1_04_A_NI,C1_04,180,1,ambiguous,non-ironic,4,a. Holding my nephew took all my strength.,Gemma-3-1B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (1–4).

Context: I held my overweight nephew in my arms.

Target utterance:
I said: """"Heavier than an elephant.""""

1. d. My nephew ate a burger that day.
2. b. Holding my nephew took nothing of my strength.
3. c. The elephant lumbered slowly across the plain.
4. a. Holding my nephew took all my strength.

Answer the following questions in order:


1. Literal Listener (L0):
  How would a listener interpret the utterance literally?
  Answer with a number from 1–4.

2. Informative Speaker (S1):
Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
Answer with a number from 1–4.

3. Pragmatic Listener (L1):
How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
Answer with a number from 1–4.","Here’s the breakdown of the answers:

1. Literal Listener (L0): 1

2. Informative Speaker (S1): 2

3. Pragmatic Listener (L1): 3

**Explanation:**

*   **Literal Listener (L0):** The utterance “Heavier than an elephant” is a straightforward statement about the nephew’s weight. It’s a descriptive observation.

*   **Informative Speaker (S1):** Option 2, “Holding my nephew took nothing of my strength,” is the most logical and appropriate response. The context – holding a large, overweight person – implies a struggle and a feeling of being overwhelmed. It’s a way to acknowledge the physical challenge","[4, 2, 3, 1]",3,A_NI,3,"Explanation:**

*   **Literal Listener (L0):** The utterance “Heavier than an elephant” is a straightforward statement about the nephew’s weight. It’s a descriptive observation.

*   **Informative Speaker (S1):** Option 2, “Holding my nephew took nothing of my strength,” is the most logical and appropriate response. The context – holding a large, overweight person – implies a struggle and a feeling of being overwhelmed. It’s a way to acknowledge the physical challenge",3
C1_05_UA_I,C1_05,10,1,unambiguous,ironic,1,b. The cake tasted really bad.,Gemma-3-1B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (1–4).

Context: She ate a delicious cake.

Target utterance:
She said: """"What an amazing flavour.""""

1. b. The cake tasted really bad.
2. a. The cake tasted really good.
3. c. The soup smelled absolutely delicious
4. d. The cake had three candles on top.

Answer the following questions in order:


1. Literal Listener (L0):
  How would a listener interpret the utterance literally?
  Answer with a number from 1–4.

2. Informative Speaker (S1):
Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
Answer with a number from 1–4.

3. Pragmatic Listener (L1):
How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
Answer with a number from 1–4.","Here’s the breakdown:

1.  Literal Listener (L0): 1

2.  Informative Speaker (S1): 2

3.  Pragmatic Listener (L1): 2

**Explanation:**

*   **Literal Listener (L0):** The utterance “What an amazing flavour” is a straightforward description of the cake’s taste. It’s a direct statement of sensory experience.
*   **Informative Speaker (S1):**  Given that the speaker is informative, they would likely choose option 2 – “The cake tasted really good.”  This aligns with the literal description of the cake.
*   **Pragmatic Listener (L1):**  The","[2, 1, 3, 4]",3,UA_I,2,"Explanation:**

*   **Literal Listener (L0):** The utterance “What an amazing flavour” is a straightforward description of the cake’s taste. It’s a direct statement of sensory experience.
*   **Informative Speaker (S1):**  Given that the speaker is informative, they would likely choose option 2 – “The cake tasted really good.”  This aligns with the literal description of the cake.
*   **Pragmatic Listener (L1):**  The",1
C1_06_UA_NI,C1_06,227,1,unambiguous,non-ironic,3,a. The medicine tasted surprisingly pleasant.,Gemma-3-1B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (1–4).

Context: He swallowed the medicine and found it delicious.

Target utterance:
He said: """"Tastier than expected.""""

1. d. He kept the medicine in the bathroom cabinet.
2. c. The cake was tastier than expected.
3. a. The medicine tasted surprisingly pleasant.
4. b. The medicine tasted absolutely awful.

Answer the following questions in order:


1. Literal Listener (L0):
  How would a listener interpret the utterance literally?
  Answer with a number from 1–4.

2. Informative Speaker (S1):
Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
Answer with a number from 1–4.

3. Pragmatic Listener (L1):
How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
Answer with a number from 1–4.","Here’s the breakdown of the answers:

1.  Literal Listener (L0): 1

2.  Informative Speaker (S1): 3

3.  Pragmatic Listener (L1): 3

**Explanation:**

*   **Literal Listener (L0):** The utterance “He swallowed the medicine and found it delicious” is a straightforward statement of fact.  The listener would simply interpret it as the person literally swallowing the medicine and experiencing a positive sensation.

*   **Informative Speaker (S1):**  The context describes a positive experience – a pleasant taste.  An informative speaker would choose an utterance that accurately reflects this positive experience. Option 3 (""The medicine tasted surprisingly pleasant","[4, 3, 1, 2]",3,UA_NI,3,"Explanation:**

*   **Literal Listener (L0):** The utterance “He swallowed the medicine and found it delicious” is a straightforward statement of fact.  The listener would simply interpret it as the person literally swallowing the medicine and experiencing a positive sensation.

*   **Informative Speaker (S1):**  The context describes a positive experience – a pleasant taste.  An informative speaker would choose an utterance that accurately reflects this positive experience. Option 3 (""The medicine tasted surprisingly pleasant",1
C1_07_A_I,C1_07,253,1,ambiguous,ironic,3,b. The smoothie was thoroughly nasty.,Gemma-3-1B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (1–4).

Context: I took a sip of my smoothie and found it palatable.

Target utterance:
I said: """"What a treat.""""

1. c. She gave the dog a treat.
2. d. She was looking for a new smoothie recipe.
3. b. The smoothie was thoroughly nasty.
4. a. The smoothie was thoroughly enjoyable.

Answer the following questions in order:


1. Literal Listener (L0):
  How would a listener interpret the utterance literally?
  Answer with a number from 1–4.

2. Informative Speaker (S1):
Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
Answer with a number from 1–4.

3. Pragmatic Listener (L1):
How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
Answer with a number from 1–4.","Here’s the breakdown:

1.  Literal Listener (L0): 1

2.  Informative Speaker (S1): 4

3.  Pragmatic Listener (L1): 4

**Explanation:**

*   **Literal Listener (L0):** The utterance “What a treat” is a straightforward statement about the taste of the smoothie. It’s a simple, positive reaction to a pleasant experience.

*   **Informative Speaker (S1):**  Given that the speaker is informative and chooses the most appropriate utterance, they would likely select option 4 – “The smoothie was thoroughly enjoyable.”  The utterance directly expresses a positive assessment of the smoothie's taste.

*   ","[3, 4, 2, 1]",3,A_I,4,"Explanation:**

*   **Literal Listener (L0):** The utterance “What a treat” is a straightforward statement about the taste of the smoothie. It’s a simple, positive reaction to a pleasant experience.

*   **Informative Speaker (S1):**  Given that the speaker is informative and chooses the most appropriate utterance, they would likely select option 4 – “The smoothie was thoroughly enjoyable.”  The utterance directly expresses a positive assessment of the smoothie's taste.

*",1
C1_08_A_NI,C1_08,112,1,ambiguous,non-ironic,3,a. They liked every single bite of the burger.,Gemma-3-1B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (1–4).

Context: They ate a palatable burger.

Target utterance:
They said: """"This burger tasted like heaven.""""

1. d. They liked the burger more than the pizza.
2. b. They could barely force themselves to swallow the burger.
3. a. They liked every single bite of the burger.
4. c. The burger was the most expensive item on the menu.

Answer the following questions in order:


1. Literal Listener (L0):
  How would a listener interpret the utterance literally?
  Answer with a number from 1–4.

2. Informative Speaker (S1):
Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
Answer with a number from 1–4.

3. Pragmatic Listener (L1):
How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
Answer with a number from 1–4.","Here’s the breakdown:

1.  Literal Listener (L0): 3

2.  Informative Speaker (S1): 3

3.  Pragmatic Listener (L1): 3

**Explanation:**

*   **Literal Listener (L0):** The utterance “This burger tasted like heaven” directly describes a strong positive sensory experience – a very pleasant taste.  It’s a straightforward statement of enjoyment.

*   **Informative Speaker (S1):**  Given that the speaker is informative and chooses the most appropriate response, they would likely select option 3: “They liked every single bite of the burger.”  This is the most natural and logical interpretation of someone genuinely expressing a","[4, 2, 1, 3]",3,A_NI,3,"Explanation:**

*   **Literal Listener (L0):** The utterance “This burger tasted like heaven” directly describes a strong positive sensory experience – a very pleasant taste.  It’s a straightforward statement of enjoyment.

*   **Informative Speaker (S1):**  Given that the speaker is informative and chooses the most appropriate response, they would likely select option 3: “They liked every single bite of the burger.”  This is the most natural and logical interpretation of someone genuinely expressing a",1
C1_09_UA_I,C1_09,71,1,unambiguous,ironic,3,b. The babysitter was not taking good care of the kids.,Gemma-3-1B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (1–4).

Context: They hired a brave babysitter.

Target utterance:
They said: """"The kids are not safe at all.""""

1. a. The babysitter was taking good care of the kids.
2. c. The kids had very clean hands.
3. b. The babysitter was not taking good care of the kids.
4. d. The babysitter parked her car outside.

Answer the following questions in order:


1. Literal Listener (L0):
  How would a listener interpret the utterance literally?
  Answer with a number from 1–4.

2. Informative Speaker (S1):
Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
Answer with a number from 1–4.

3. Pragmatic Listener (L1):
How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
Answer with a number from 1–4.","Here’s the breakdown of the answers:

1. Literal Listener (L0): 1

2. Informative Speaker (S1): 3

3. Pragmatic Listener (L1): 3

**Explanation:**

*   **Literal Listener (L0):** The utterance “The kids are not safe at all” is a direct statement about the current state of the kids. A literal listener would focus on the factual content of the statement.

*   **Informative Speaker (S1):**  Given that the speaker is informing us about the situation, the most appropriate utterance would be option 3: “The kids are not safe at all.” This directly addresses the core concern – the safety of the children","[1, 3, 2, 4]",3,UA_I,3,"Explanation:**

*   **Literal Listener (L0):** The utterance “The kids are not safe at all” is a direct statement about the current state of the kids. A literal listener would focus on the factual content of the statement.

*   **Informative Speaker (S1):**  Given that the speaker is informing us about the situation, the most appropriate utterance would be option 3: “The kids are not safe at all.” This directly addresses the core concern – the safety of the children",2
C1_10_UA_NI,C1_10,64,1,unambiguous,non-ironic,1,a. The police officer made them feel very safe.,Gemma-3-1B,Condition1B_context_richness_stimuli,rsa,"You will read short stories that describe everyday situations and end with a person saying something.

For each story, there are 4 possible interpretations (1–4).

Context: They met a brave police officer.

Target utterance:
They said: """"We felt so safe around you""""

1. a. The police officer made them feel very safe.
2. b. The police officer did not make them feel safe at all.
3. c. They were sitting in a very safe seat.
4. d. The police officer drank a cup of coffee.

Answer the following questions in order:


1. Literal Listener (L0):
  How would a listener interpret the utterance literally?
  Answer with a number from 1–4.

2. Informative Speaker (S1):
Which utterance would an informative speaker be most likely to choose, given the situations described in the answer options, assuming that a listener interprets it literally?
Answer with a number from 1–4.

3. Pragmatic Listener (L1):
How would a listener interpret this utterance, knowing that the speaker is informative and chooses the most appropriate utterance for the situation described in the answer options?
Answer with a number from 1–4.","Here’s the breakdown:

1.  Literal Listener (L0): 1

2.  Informative Speaker (S1): 1

3.  Pragmatic Listener (L1): 1

**Explanation:**

*   **Literal Listener (L0):** The utterance “We felt so safe around you” is a direct statement of feeling safe. It’s a simple, factual observation.
*   **Informative Speaker (S1):**  Given that the speaker is informative, they’d likely choose an option that directly reflects the feeling of safety. Option 1 (""a. The police officer made them feel very safe"") is the most straightforward and accurate interpretation.
*   **Pr","[1, 2, 3, 4]",3,UA_NI,1,"Explanation:**

*   **Literal Listener (L0):** The utterance “We felt so safe around you” is a direct statement of feeling safe. It’s a simple, factual observation.
*   **Informative Speaker (S1):**  Given that the speaker is informative, they’d likely choose an option that directly reflects the feeling of safety. Option 1 (""a. The police officer made them feel very safe"") is the most straightforward and accurate interpretation.
*   **Pr",1
