Item_ID,context_level,irony_label,pronoun,key word,adjective,polarity,context,speaker,target_utterance,answering_options,Writer,Reviewer,Tokens (TODO),base_item,correct_option_text,presentation_order,correct_option_pos,distractor_positions,original_option_mapping,seed,condition,run
C1_01_UA_NI,unambiguous,non-ironic,He,cat,skinny,negative,He lifted the skinny cat from the table.,He said: ,"""That was easy!""","a. The cat was easy to lift up.
b. He just got a great deal on a cat bed.
c. The exam was really easy.
d. The cat was really hard to lift up.",Betti,,,C1_01,The cat was easy to lift up.,255,a,"['b', 'c', 'd']","['a', 'd', 'c', 'b']",1,UA_NI,4
C1_02_A_I,ambiguous,ironic,She,dog,thin,negative,She picked up her thin dog.,She said:,"""Heaviest dog ever.""","a. She just adopted a new dog.
b. The dog was really heavy to lift
c. The dog was very light to lift.
d. It was the heaviest package she ever carried.",Betti,,,C1_02,The dog was very light to lift.,51,c,"['a', 'b', 'd']","['d', 'a', 'b', 'c']",1,A_I,4
C1_03_A_NI,ambiguous,non-ironic,They,friend,thin,negative,They lift their thin friend.,They said:,"""Light as a feather.""","a. Getting their friend off the ground took a lot of effort.
b. The feather fell gently to the ground.
c. Their friend was very easy to lift.
d. They decided to go out for dinner with their friend.",Betti,,,C1_03,Their friend was very easy to lift.,230,c,"['a', 'b', 'd']","['b', 'c', 'a', 'd']",1,A_NI,4
C1_04_UA_I,unambiguous,ironic,I,nephew,skinny,negative,I held my skinny nephew in my arms.,I said:,"""Heavier than an elephant.""","a. Holding my nephew took nothing of my strength.
b. Holding my nephew took all my strength.
c. The elephant lumbered slowly across the plain.
d. My nephew ate a burger that day.",,,,C1_04,Holding my nephew took nothing of my strength.,78,a,"['b', 'c', 'd']","['b', 'a', 'c', 'd']",1,UA_I,4
C1_05_UA_NI,unambiguous,non-ironic,She,cake,disgusting,negative,She ate a disgusting cake.,She said:,"""What an amazing flavour.""","a. The cake tasted really good.
b. The cake tasted really bad.
c. The soup smelled absolutely delicious
d. The cake had three candles on top.",Betti,,,C1_05,The cake tasted really good.,77,a,"['b', 'c', 'd']","['a', 'b', 'c', 'd']",1,UA_NI,4
C1_06_A_I,ambiguous,ironic,He,medicine,unpleasant ,negative,He swallowed the medicine and found it unpleasant.,He said:,"""Tastier than expected.""","a. The medicine tasted absolutely awful.
b. The medicine tasted surprisingly pleasant.
c. He kept the medicine in the bathroom cabinet.
d. The cake was tastier than expected.",,,,C1_06,The medicine tasted absolutely awful.,188,a,"['b', 'c', 'd']","['b', 'a', 'd', 'c']",1,A_I,4
C1_07_A_NI,ambiguous,non-ironic,I,smoothie,unpleasant,negative,I took a sip of my smoothie and found it unpleasant.,I said:,"""What a treat.""","a. The smoothie was thoroughly enjoyable.
b. She gave the dog a treat.
c. She was looking for a new smoothie recipe.
d. The smoothie was thoroughly nasty.",,,,C1_07,The smoothie was thoroughly enjoyable.,239,a,"['b', 'c', 'd']","['a', 'c', 'd', 'b']",1,A_NI,4
C1_08_UA_I,unambiguous,ironic,They,burger,disgusting,negative,They ate a disgusting burger.,They said:,"""This burger tasted like heaven.""","a. They liked the burger more than the pizza.
b. The burger was the most expensive item on the menu.
c. They liked every single bite of the burger.
d. They could barely force themselves to swallow the burger.",,,,C1_08,They could barely force themselves to swallow the burger.,259,d,"['a', 'b', 'c']","['d', 'c', 'a', 'b']",1,UA_I,4
C1_09_UA_NI,unambiguous,non-ironic,They,babysitter,petrified,negative,They hired a petrified babysitter.,They said:,"""The kids are not safe at all.""","a. The babysitter was taking good care of the kids.
b. The babysitter was not taking good care of the kids.
c. The kids had very clean hands.
d. The babysitter parked her car outside.",Betti,,,C1_09,The babysitter was taking good care of the kids.,109,a,"['b', 'c', 'd']","['a', 'b', 'c', 'd']",1,UA_NI,4
C1_10_A_I,ambiguous,ironic,They,police officer,scared,negative,They met a scared police officer.,They said:,"""We felt so safe around you""","a. The police officer drank a cup of coffee.
b. The police officer did not make them feel safe at all.
c. They were sitting in a very safe seat.
d. The police officer made them feel very safe.",Betti,,,C1_10,The police officer did not make them feel safe at all.,186,b,"['a', 'c', 'd']","['d', 'b', 'c', 'a']",1,A_I,4
