Item_ID,context_level,irony_label,pronoun,key word,adjective,polarity,context,speaker,target_utterance,answering_options,Writer,Reviewer,Tokens (TODO),base_item,correct_option_text,presentation_order,correct_option_pos,distractor_positions,original_option_mapping,seed,condition,run
C1_01_A_NI,ambiguous,non-ironic,He,cat,thin,negative,He lifted the thin cat from the table.,He said: ,"""That was easy!""","a. The cat was easy to lift up.
b. The exam was really easy.
c. He just got a great deal on a cat bed.
d. The cat was really hard to lift up.",Betti,,,C1_01,The cat was easy to lift up.,229,a,"['b', 'c', 'd']","['a', 'c', 'd', 'b']",42,A_NI,2
C1_02_UA_I,unambiguous,ironic,She,dog,skinny,negative,She picked up her skinny dog.,She said:,"""Heaviest dog ever.""","a. The dog was very light to pick up.
b. It was the heaviest package she ever carried.
c. She just adopted a new dog.
d. The dog was really heavy to pick up.",Betti,,,C1_02,The dog was very light to pick up.,58,a,"['b', 'c', 'd']","['b', 'c', 'd', 'a']",42,UA_I,2
C1_03_UA_NI,unambiguous,non-ironic,They,friend,skinny,negative,They lift their skinny friend.,They said:,"""Light as a feather.""","a. The feather fell gently to the ground.
b. They decided to go out for dinner with their friend.
c. Their friend was very easy to lift.
d. Getting their friend off the ground took a lot of effort.",Betti,,,C1_03,Their friend was very easy to lift.,176,c,"['a', 'b', 'd']","['c', 'd', 'a', 'b']",42,UA_NI,2
C1_04_A_I,ambiguous,ironic,I,nephew,thin,negative,I held my thin nephew in my arms.,I said:,"""Heavier than an elephant.""","a. Holding my nephew took nothing of my strength.
b. Holding my nephew took all my strength.
c. The elephant lumbered slowly across the plain.
d. My nephew ate a burger that day.",,,,C1_04,Holding my nephew took nothing of my strength.,146,a,"['b', 'c', 'd']","['b', 'a', 'c', 'd']",42,A_I,2
C1_05_A_NI,ambiguous,non-ironic,She,cake,unpleasant,negative,She ate an unpleasant cake.,She said:,"""What an amazing flavour.""","a. The cake tasted really bad.
b. The cake tasted really good.
c. The cake had three candles on top.
d. The soup smelled absolutely delicious",Betti,,,C1_05,The cake tasted really good.,254,b,"['a', 'c', 'd']","['b', 'a', 'd', 'c']",42,A_NI,2
C1_06_UA_I,unambiguous,ironic,He,medicine,disgusting,negative,He swallowed the medicine and found it disgusting.,He said:,"""Tastier than expected.""","a. The cake was tastier than expected.
b. The medicine tasted surprisingly pleasant.
c. He kept the medicine in the bathroom cabinet.
d. The medicine tasted absolutely awful.",,,,C1_06,The medicine tasted absolutely awful.,46,d,"['a', 'b', 'c']","['c', 'a', 'd', 'b']",42,UA_I,2
C1_07_UA_NI,unambiguous,non-ironic,I,smoothie,disgusting,negative,I took a sip of my smoothie and found it disgusting.,I said:,"""What a treat.""","a. She gave the dog a treat.
b. The smoothie was thoroughly enjoyable.
c. The smoothie was thoroughly nasty.
d. She was looking for a new smoothie recipe.",,,,C1_07,The smoothie was thoroughly enjoyable.,179,b,"['a', 'c', 'd']","['c', 'a', 'b', 'd']",42,UA_NI,2
C1_08_A_I,ambiguous,ironic,They,burger,unpleasant ,negative,They ate an unpleasant burger.,They said:,"""This burger tasted like heaven.""","a. They liked the burger more than the pizza.
b. They liked every single bite of the burger.
c. They could barely force themselves to swallow the burger.
d. The burger was the most expensive item on the menu.",,,,C1_08,They could barely force themselves to swallow the burger.,148,c,"['a', 'b', 'd']","['d', 'a', 'b', 'c']",42,A_I,2
C1_09_A_NI,ambiguous,non-ironic,They,babysitter,scared,negative,They hired a scared babysitter.,They said:,"""The kids are not safe at all.""","a. The babysitter parked her car outside.
b. The kids had very clean hands.
c. The babysitter was not taking good care of the kids.
d. The babysitter was taking good care of the kids.",Betti,,,C1_09,The babysitter was taking good care of the kids.,12,d,"['a', 'b', 'c']","['d', 'c', 'b', 'a']",42,A_NI,2
C1_10_UA_I,unambiguous,ironic,They,police officer,petrified,negative,They met a petrified police officer.,They said:,"""We felt so safe around you""","a. The police officer did not make them feel safe at all.
b. The police officer drank a cup of coffee.
c. They were sitting in a very safe seat.
d. The police officer made them feel very safe.",Betti,,,C1_10,The police officer did not make them feel safe at all.,98,a,"['b', 'c', 'd']","['b', 'd', 'c', 'a']",42,UA_I,2
C1_11_UA_NI,unambiguous,non-ironic,She,pilot,petrified,negative,She noticed the petrified pilot before boarding.,She said:,"""That really shook me up.""","a. She dated a pilot for several months.
b. Seeing the pilot made her feel even more anxious.
c. Seeing the pilot put her completely at ease.
d. She settled into her seat and fastened the belt.",Betti,,,C1_11,Seeing the pilot put her completely at ease.,219,c,"['a', 'b', 'd']","['d', 'b', 'a', 'c']",42,UA_NI,2
C1_12_A_I,ambiguous,ironic,He,Father,scared,negative,He saw his scared father.,He said:,"""Brave as a lion""","a. His father's face was full of fear.
b. The lion prowled across the savannah.
c. His father wore a blue jacket.
d. His father showed no fear at all.",,,,C1_12,His father's face was full of fear.,197,a,"['b', 'c', 'd']","['b', 'c', 'd', 'a']",42,A_I,2
C1_13_A_NI,ambiguous,non-ironic,He,girlfriend,tired,negative,He saw his tired girlfriend.,He said:,"""You look like you've been awake since birth.""","a. To him, his girlfriend looked well-rested and full of energy.
b. His girlfriend clearly looked worn out, not refreshed at all.
c. He was planning to surprise his girlfriend with a home-cooked meal.
d. He had just bought her a refreshing cold drink.",Betti,,,C1_13,"To him, his girlfriend looked well-rested and full of energy.",232,a,"['b', 'c', 'd']","['a', 'b', 'd', 'c']",42,A_NI,2
C1_14_UA_I,unambiguous,ironic,She,collegue,exhausted,negative,She saw her exhausted colleague.,She said:,"""You seem so full of energy today.""","a. Her colleague seemed very energetic today.
b. Her colleague seemed very tired today.
c. She was redecorating the office of her colleague.
d. She filled up the car with energy.",Betti,,,C1_14,Her colleague seemed very tired today.,261,b,"['a', 'c', 'd']","['a', 'b', 'd', 'c']",42,UA_I,2
C1_15_UA_NI,unambiguous,non-ironic,They,sleep over,exhausted,negative,"After the sleepover, they were exhausted.",They said: ,"""We never felt more tired in our lifes.""","a. They felt really exhausted after the sleepover.
b. They felt very well-rested after the sleepover.
c. They rested the heavy boxes on the floor.
d. They did sleep overs once a year.",Betti,,,C1_15,They felt very well-rested after the sleepover.,251,b,"['a', 'c', 'd']","['b', 'a', 'c', 'd']",42,UA_NI,2
C1_16_A_I,ambiguous,ironic,I,exam,tired,negative,"Right before my exam, I felt really tired.",I said:,"""I have never felt more ready.""","a. I felt fully prepared and ready for the exam.
b. Deep down I felt completely unprepared for the exam.
c. Dinner was ready by seven o'clock.
d. The exam started at nine o'clock.",,,,C1_16,Deep down I felt completely unprepared for the exam.,30,b,"['a', 'c', 'd']","['a', 'b', 'c', 'd']",42,A_I,2
C1_17_A_NI,ambiguous,non-ironic,She,idea,new,negative,She had a new idea.,She said:,"""Truly ahead of its time.""","a. She had the idea to redecorate her office.
b. Her idea was outdated.
c. She had arrived early.
d. Her idea was innovative.",Stella,Kristina,,C1_17,Her idea was innovative.,142,d,"['a', 'b', 'c']","['d', 'b', 'c', 'a']",42,A_NI,2
C1_18_UA_I,unambiguous,ironic,He,approach,novel,negative,It was a novel approach.,He said:,"""How refreshingly innovative.""","a. Refreshments were served at the end of the presentation.
b. He researched new approaches for several months.
c. In his view, it was a stale approach he had seen many times before.
d. He found the approach genuinely new and creative.",Stella,Kristina,,C1_18,"In his view, it was a stale approach he had seen many times before.",194,c,"['a', 'b', 'd']","['c', 'd', 'b', 'a']",42,UA_I,2
